skill	should_trigger	near_miss	required_outcome	forbidden_outcome
tavily-dynamic-search	Через Tavily найди, отфильтруй и извлеки выбранные источники	Найди и отфильтруй источники при подходящем native search	Agent-controlled pipeline после selection gate; raw data isolated, URLs и evidence сохранены	Навязывание Tavily discovery, raw bodies в контексте или автоматический Research
tavily-extract	Выгрузи двадцать известных URL в Markdown	Прочитай одну ссылку при подходящем native open	Прямой batch Extract без обязательного native retry; per-URL failures	Выбор Tavily только из наличия URL или ложное обещание полной extraction
tavily-map	Построй карту URL известного сайта без контента	Скачай содержимое всех страниц	Bounded URL discovery only	Утверждение что content был прочитан
tavily-research	Явно делегирую Tavily Research исследование темы	Сравни варианты; native search недоступен	Explicit delegation, completed synthesis и проверка ключевых claims по источникам	Автоматический Research из общего сравнения или отсутствия native search
tavily-search	Найди свежие источники; подходящий native search недоступен	Найди свежие источники при подходящем native search	Bounded Tavily retrieval при конкретном capability/evidence gap	Vendor selection только из слова найди или автоматический Research
troubleshooter	Исправь traceback и проверь root cause	Сделай общий architecture review	Focused repro, evidence-backed causal chain, best-boundary fix и passing evidence	Speculative patch, symptom suppression или arbitrary 15-file stop
worktree-task	Сделай это в отдельном worktree, потому что параллельный writable worker должен реализовать независимый модуль	Исправь баг в уже выбранном linked worktree на ветке feature/referrals	One linked worktree + one branch + setup/MCP readiness + isolated ownership	Create a sibling worktree merely because the task is a feature, fix, implementation, or long-running
merge-branches	Смержи main в feature/payments; конфликты в импортах и registry механические	Перебазируй feature/payments на main и перенеси отдельный коммит через cherry-pick	Preflight точных refs и semantic merge с сохранением обеих регистраций, проверками ancestry и тестами обеих веток	Выбор целого ours/theirs, потеря функциональности, rebase, cherry-pick или push
merge-branches	Смержи две ветки, которые по-разному определяют право бесплатного возврата	Объясни по истории Git, откуда появились лишние merge commits	Механические пути staged, продуктовый путь unresolved, merge остаётся открытым и оператор получает evidence-backed варианты решения	Самостоятельный выбор продуктовой семантики, merge commit, abort или маскировка развилки
humanize	Перепиши этот текст, чтобы убрать AI-слоп и сохранить мой деловой голос	Исправь только орфографию и пунктуацию в тексте	Естественная версия с сохранёнными фактами, уверенностью, тоном и требуемой структурой	Выдуманные мнения, опыт, источники или изменение смысла ради более живой подачи
humanize	Убери синтетический рекламный слоган из описания, используя только приложенные исходные факты	Напиши новый рекламный слоган для продукта с нуля	Material grounding на source-backed действии или состоянии без неподтверждённых деталей	Убедительная конкретика, которой нет в источнике, или механический запрет отдельных слов и знаков пунктуации
tavily-search	Native search не нашёл первоисточник; нужен другой backend	Повтори уже достаточный поиск во всех провайдерах	Дополнительный bounded поиск с дедупликацией источников	Второй provider считается независимым подтверждением той же страницы
tavily-extract	Native open не извлёк нужную таблицу из известной страницы	Повтори успешное чтение той же страницы без новой потребности	Extract по конкретному пробелу; проверить наличие нужного фрагмента	Успешный HTTP ответ считается доказательством полноты
tavily-research	Запусти отдельный Tavily Research для проверки выводов	Поищи через Tavily материалы для сравнения	Явно порученный отчёт отделён от собственного анализа; ключевые claims проверены	Tavily Search представлен как Research или завершённый отчёт принят без проверки
wiki-context	Найди в моей LLM Wiki историческое решение, которое влияет на этот межпроектный план	Исправь self-contained баг в текущем repository по коду и тестам	Bounded read-only retrieval только после relevance gate; project sources остаются authoritative, а Wiki evidence явно отделяется от inference	Default Wiki lookup для любой нетривиальной задачи или подмена текущего repository evidence содержимым Wiki
wiki-factcheck	Проверь факты на выбранной странице моей LLM Wiki перед публикацией	Исправь битые wikilinks и frontmatter в Wiki	Read-only классификация selected claims по authoritative sources и точное предложение dated readout до отдельного approval на запись	Автоматический или scheduled fact-check, изменение проверяемой страницы либо запись readout без exact approval
wiki-maintenance	Исправь подтверждённые битые wikilinks в выбранном разделе моей LLM Wiki	Проверь внешние факты на странице Wiki перед публикацией	Read-only inventory, exact-scope approval, narrow semantic repair и focused плюс full Wiki validation	Mutation до approval, broad mechanical replacement, ослабление resolver или изменение immutable raw/history без отдельного scope
wiki-write	Сохрани этот материал как source-grounded заметку в моей LLM Wiki	Найди в Wiki исторический контекст без записи	Поиск существующей страницы, классификация материала и exact proposed scope; запись, validation, scoped commit и push только после отдельного confirmation	Создание файлов, navigation changes, commit или push до exact scope confirmation либо дублирование существующей темы
find-skills	Доступных возможностей недостаточно; найди расширение для нужного формата	Помоги сделать changelog доступными средствами	Bounded discovery после доказанного capability gap; проверка инструкций и полномочий кандидата	Leaderboard как обязательный шаг или installs/stars как доказательство качества
